"Dolphin.ID","Sex","Birth.Date","Death.Date","Mother.ID","Last.Sighting.Date","Genotype.Available","Depart.Study.Date","Age.Depart","Sighting.Rate"
"AAR","UNKNOWN",2003-11-01,NA,"DMK",2005-08-11,"N",2006-02-10,2.27789185489391,NA
"ABA","FEMALE",2010-11-01,NA,"WHL",2019-06-25,"Y",2019-09-25,8.89801505817933,0.943798449612403
"ABC","MALE",1994-11-01,NA,"",2019-09-30,"Y",2019-09-25,24.8980150581793,2.67409560723514
"ABE","UNKNOWN",1991-11-01,1994-06-19,"URP",1996-06-25,"N",1994-06-19,2.63107460643395,NA
"ACD","UNKNOWN",2003-11-01,NA,"ZIO",2005-11-15,"N",2006-05-17,2.54072553045859,NA
"ACF","UNKNOWN",1997-11-01,NA,"",2012-06-19,"N",2012-12-19,15.1321013004791,NA
"ACK","MALE",1980-11-01,1999-05-01,"",1998-07-18,"N",1999-05-01,18.4941820670773,NA
"ADR","FEMALE",1988-11-01,NA,"",2014-07-01,"N",2014-12-31,26.1629021218344,NA
"AGA","MALE",1997-09-15,NA,"ALG",2019-11-16,"Y",2019-09-25,22.0260095824778,2.51679586563308
"AHA","MALE",1980-11-01,1994-05-01,"",1993-08-08,"N",1994-05-01,13.4948665297741,NA
"AJA","MALE",1980-11-01,NA,"",2016-05-30,"Y",2016-11-29,36.0766598220397,2.54431114551084
"ALB","MALE",2015-10-15,NA,"KIT",2019-11-23,"Y",2019-09-25,3.94524298425736,4.30898681471201
"ALG","FEMALE",1969-11-01,2004-05-01,"",2003-05-02,"N",2004-05-01,34.4969199178645,NA
"ALI","FEMALE",1982-11-01,2011-05-01,"",2008-01-25,"N",2011-05-01,28.4955509924709,NA
"ALO","FEMALE",2001-11-01,NA,"",2019-05-15,"Y",2019-09-25,17.8973305954825,5.03359173126615
"ALT","FEMALE",1988-11-01,NA,"",2019-09-30,"Y",2019-09-25,30.8966461327858,3.30329457364341
"ALU","MALE",2015-11-01,NA,"TAW",2019-12-03,"Y",2019-09-25,3.89869952087611,4.87341994382022
"ALV","FEMALE",1981-11-01,2004-05-01,"",2002-08-20,"N",2004-05-01,22.4969199178645,NA
"AMA","FEMALE",1984-11-01,2009-05-01,"",2008-06-24,"N",2009-05-01,24.4955509924709,NA
"AME","FEMALE",1991-11-01,NA,"",2012-07-07,"N",2013-01-06,21.1827515400411,NA
"AMO","FEMALE",1996-11-01,2016-05-01,"TUK",2016-03-07,"Y",2016-05-01,19.4962354551677,4.39652777777778
"AMP","FEMALE",1986-11-01,NA,"",2019-11-23,"Y",2019-09-25,32.8980150581793,5.66279069767442
"ANE","FEMALE",2009-11-01,NA,"CLO",2019-09-24,"Y",2019-09-25,9.89733059548255,6.76388888888889
"ANG","UNKNOWN",1972-11-01,1988-05-01,"",NA,"N",1988-05-01,15.4962354551677,NA
"ANT","MALE",1973-11-01,2014-05-01,"",2013-06-22,"N",2014-05-01,40.4955509924709,NA
"ANV","MALE",1976-11-01,NA,"",2017-10-20,"Y",2018-04-21,41.4674880219028,2.02916666666667
"ANW","MALE",1992-11-01,NA,"",2019-11-16,"Y",2019-09-25,26.8966461327858,2.83139534883721
"APO","MALE",2003-11-01,NA,"ATH",2019-10-03,"Y",2019-09-25,15.8986995208761,1.10109819121447
