"ID1","ID2","DyadML","pair"
"PHO","PHX",0.5722,"PHO.PHX"
"SCA","COK",0.5537,"SCA.COK"
"WNG","WHN",0.5522,"WNG.WHN"
"NNA","LAS",0.552,"NNA.LAS"
"LDO","SLT",0.5501,"LDO.SLT"
"HRS","TAL",0.5475,"HRS.TAL"
"PDR","ALT",0.546,"PDR.ALT"
"GUM","GMP",0.5459,"GUM.GMP"
"UVE","COP",0.5382,"UVE.COP"
"SKF","HFF",0.537,"SKF.HFF"
"HOW","JUM",0.5368,"HOW.JUM"
"TIH","WHT",0.5368,"TIH.WHT"
"SCA","CRP",0.5339,"SCA.CRP"
"RBN","CKL",0.5335,"RBN.CKL"
"RDC","GRV",0.5304,"RDC.GRV"
"WHE","FAO",0.5289,"WHE.FAO"
"GRV","COI",0.5283,"GRV.COI"
"JNI","TUL",0.5273,"JNI.TUL"
"ZIP","ZEP",0.5272,"ZIP.ZEP"
"SPE","FRK",0.5266,"SPE.FRK"
"POL","BAD",0.5236,"POL.BAD"
"SKF","TUF",0.5226,"SKF.TUF"
"TDO","TOR",0.5219,"TDO.TOR"
"MYS","ITG",0.5216,"MYS.ITG"
"WHL","ABA",0.5216,"WHL.ABA"
"ENC","TAM",0.521,"ENC.TAM"
"RIP","BLI",0.5205,"RIP.BLI"
"TUN","TOG",0.5202,"TUN.TOG"
"SCA","CLA",0.5199,"SCA.CLA"
"PUC","PIC",0.5196,"PUC.PIC"
"VBE","EED",0.5194,"VBE.EED"
"EED","PWE",0.5193,"EED.PWE"
"SUR","SON",0.5179,"SUR.SON"
"JNI","JAH",0.5175,"JNI.JAH"
"SVD","CVO",0.5175,"SVD.CVO"
"MYS","GOD",0.5174,"MYS.GOD"
"EED","PHO",0.5172,"EED.PHO"
"BLB","RSH",0.5157,"BLB.RSH"
"TUN","BRP",0.5154,"TUN.BRP"
"TUK","AMO",0.5153,"TUK.AMO"
"CCU","NUM",0.5147,"CCU.NUM"
"TAW","TUK",0.5146,"TAW.TUK"
"WNG","WPY",0.5145,"WNG.WPY"
"BLM","BSS",0.5142,"BLM.BSS"
"WNG","TTM",0.5137,"WNG.TTM"
"NIC","NOE",0.5135,"NIC.NOE"
"BOR","BOM",0.5134,"BOR.BOM"
"SOG","DCH",0.5134,"SOG.DCH"
"UVE","CLV",0.5129,"UVE.CLV"
"CHL","HAB",0.5126,"CHL.HAB"
"WAC","LOO",0.5126,"WAC.LOO"
"RKT","PEG",0.5118,"RKT.PEG"
"WIY","KIY",0.5108,"WIY.KIY"
"WNG","WHZ",0.5102,"WNG.WHZ"
"PIC","FUT",0.5094,"PIC.FUT"
"BRE","FNT",0.5091,"BRE.FNT"
"WON","JMY",0.5077,"WON.JMY"
"BLK","SGG",0.5073,"BLK.SGG"
"PIC","EDE",0.507,"PIC.EDE"
"GEK","GUM",0.5065,"GEK.GUM"
"SQE","SHO",0.5062,"SQE.SHO"
"ASN","DOD",0.5029,"ASN.DOD"
"GUA","RSH",0.5004,"GUA.RSH"
