"","x","y"
"ABA",771702.82272834,7151907.15347882
"ABC",769961.51924299,7152460.2672457
"AGA",770807.52986001,7151134.18435492
"AJA",768564.43685853,7152739.17085063
"ALB",777406.72315758,7145590.94899148
"ALO",776005.76418565,7138749.57179607
"ALT",769051.03168688,7152203.09467427
"ALU",770082.27405859,7151154.25913644
"AMO",765959.09634907,7154869.88532233
"AMP",770346.34956634,7149658.68137559
"ANE",770087.71846334,7150122.81268657
"ANV",766574.67235902,7154615.58166152
"ANW",767717.77504323,7152343.80400177
"APO",764999.25830234,7155945.32528698
"APS",778889.49293712,7145409.72334025
"ARN",768459.39574225,7155923.38701175
"ART",765967.63339211,7155318.0548376
"ASD",766255.4364546,7155452.07696458
"ASN",773134.92073164,7147626.62547206
"ATC",768205.09081471,7153178.20744052
"ATH",766890.16147408,7153332.59060259
"BAD",765460.24768381,7154676.03023541
"BAG",769836.64135719,7152574.5226709
"BAI",770874.95653635,7149762.77113899
"BBN",777969.71403637,7147610.35464119
"BCT",779038.7502822,7144587.41799601
"BDT",776854.72271518,7143951.13165485
"BEE",777805.61343884,7144817.45717771
"BGS",755971.92599087,7172202.93335944
"BIG",771553.19572134,7147854.27772657
"BLB",778786.21075036,7144609.84091114
"BLE",769836.35212218,7150359.6863279
"BLI",771384.02497847,7149001.48617434
"BLK",776045.90105705,7142103.28284693
"BLM",771745.84663949,7145996.9579108
"BLO",777801.14220139,7144011.42667083
"BLW",753838.40466398,7176838.90165175
"BMN",781900.67387095,7137791.83828082
"BMT",775301.07161314,7145902.80470625
"BNG",773666.21636479,7147445.47676089
"BNI",765761.30040599,7154895.60629564
"BOM",777850.98089854,7145128.15072978
"BOR",778402.0991331,7143898.80747307
"BRA",777221.81691747,7142898.78104365
"BRE",765783.16980748,7152798.78452764
"BRP",767084.73456136,7152122.3228268
"BRS",774892.88678418,7149271.06263402
"BSC",777012.45379771,7143037.28076982
"BSS",771570.50493826,7146637.45227613
"BTS",765237.71457851,7154901.62393069
"BUD",771980.25409035,7145630.55480237
"BYP",777227.56246277,7144727.44570648
"BYT",773407.45667632,7147469.86841527
"CAD",780497.52238,7147898.66016361
"CCU",777166.67936362,7141957.57385429
"CDB",776870.6126814,7146841.60169504
"CEB",772445.14183076,7147172.94586209
"CER",780198.09452904,7142288.55835119
"CEY",772839.91826904,7145431.09515452
"CHC",752827.10422651,7176731.35190293
"CHL",777415.43192172,7142161.23649441
"CHR",780375.14392137,7136092.6313765
"CHT",778711.12736156,7144157.25357375
"CKL",775822.89307957,7146929.24168142
"CLA",769451.54834392,7153033.71511662
"CLI",765953.77643254,7156016.47995721
"CLO",766891.68054505,7153460.73596571
"CLV",767121.49751782,7154606.8348204
"COI",776067.78180434,7148065.69404767
"COK",769833.14413052,7152377.66715104
"COO",771725.96368922,7145905.8573756
"COP",767296.13575948,7153712.56675223
"CPA",755431.1670134,7172017.34016285
"CRP",767892.13932449,7154390.3497809
"CRS",752433.89242912,7177058.61825782
"CRV",774644.64438334,7148819.10754666
"CSK",776706.88519458,7146928.30617372
"CTN",769437.33124098,7151916.52274054
"CUR",768996.14421996,7151714.30899977
"CVO",780057.54182257,7141004.69453242
"CYA",775230.77475434,7145208.59297327
"CYR",770047.08077065,7151953.80122124
"CZA",777262.13320888,7145968.20921354
"DAG",773509.29379161,7145256.87734107
"DAI",780153.00898495,7139784.43714923
"DBO",754688.91721047,7174313.72112607
"DCH",768133.6521067,7150169.56101181
"DEE",772773.46606124,7147582.74220729
"DEM",773185.51966271,7147582.40404773
